TAB,GROUP,NAME,DISPLAY NAME,CIM NAME,DATA TYPE,UNIT,SHOW,USE,VALUE,SCALE,CHANGE LIMIT,MIN,MAX,UI LEVEL,DESCRIPTIONOPTION
OPTION,PH_SERVICE,USE_AF,USE AF,USE AF,BOOL,USE,1,1,0,1.000,0.000,0.000,1.000,1,
OPTION,PH_SERVICE,AF_GAIN,AF GAIN,AF GAIN,INT,VALUE,1,1,0,1.000,0.000,1.000,4095.000,1,
OPTION,PH_SERVICE,AF_RANGE_MIN,AF RANGE MIN,AF RANGE MIN,DOUBLE,mm,1,1,0,1.000,0.000,-999999.000,999999.000,1,
OPTION,PH_SERVICE,AF_RANGE_MAX,AF RANGE MAX,AF RANGE MAX,DOUBLE,mm,1,1,0,1.000,0.000,-999999.000,999999.000,1,
OPTION,CAMERA_BASLER,CAM_1_GAIN_LEVEL,CAM 1 GAIN LEVEL,CAM 1 GAIN LEVEL,INT,VALUE,1,1,0,1.000,0.000,0.000,255.000,2,
OPTION,CAMERA_BASLER,CAM_2_GAIN_LEVEL,CAM 2 GAIN LEVEL,CAM 2 GAIN LEVEL,INT,VALUE,1,1,0,1.000,0.000,0.000,255.000,2,
OPTION,CAMERA_BASLER,TIME_GRAB_1,TIME GRAB 1,TIME GRAB 1,INT,VALUE,1,1,0,1.000,0.000,0.000,1000.000,2,
OPTION,CAMERA_BASLER,TIME_STEP_1,TIME STEP 1,TIME STEP 1,INT,VALUE,1,1,0,1.000,0.000,0.000,1000.000,2,
OPTION,CAMERA_BASLER,TIME_GRAB_2,TIME GRAB 2,TIME GRAB 2,INT,VALUE,1,1,0,1.000,0.000,0.000,1000.000,2,
OPTION,CAMERA_BASLER,TIME_STEP_2,TIME STEP 2,TIME STEP 2,INT,VALUE,1,1,0,1.000,0.000,0.000,1000.000,2,
OPTION,SETUP_ALIGN,USE_2D_CALI_DATA,USE 2D CALI DATA,USE 2D CALI DATA,BOOL,USE,1,1,0,1.000,0.000,0.000,1.000,3,
OPTION,SETUP_ALIGN,MARK2_ORG_GERB_X,MARK2 ORG GERB X,MARK2 ORG GERB X,DOUBLE,mm,1,1,0,1.000,0.000,-999999.000,999999.000,3,
OPTION,SETUP_ALIGN,MARK2_ORG_GERB_Y,MARK2 ORG GERB Y,MARK2 ORG GERB Y,DOUBLE,mm,1,1,0,1.000,0.000,-999999.000,999999.000,3,
OPTION,SETUP_ALIGN,MARK2_STAGE_X,MARK2 STAGE X,MARK2 STAGE X,DOUBLE,mm,1,1,0,1.000,0.000,-999999.000,999999.000,3,
OPTION,MARK_FIND,SCORE_RATE,SCORE RATE,SCORE RATE,DOUBLE,VALUE,1,1,0,1.000,0.000,0.000,100.000,3,
OPTION,MARK_FIND,SCALE_RATE,SCALE RATE,SCALE RATE,DOUBLE,VALUE,1,1,0,1.000,0.000,0.000,100.000,3,
OPTION,STROBE_LAMP,STROBE_LAMP_1,STROBE_LAMP 1,STROBE_LAMP 1,INT,VALUE,1,1,0,1.000,0.000,0.000,1000.000,3,
OPTION,STROBE_LAMP,STROBE_LAMP_2,STROBE_LAMP 2,STROBE_LAMP 2,INT,VALUE,1,1,0,1.000,0.000,0.000,1000.000,3,
OPTION,STROBE_LAMP,STROBE_LAMP_3,STROBE_LAMP 3,STROBE_LAMP 3,INT,VALUE,1,1,0,1.000,0.000,0.000,1000.000,3,
OPTION,STROBE_LAMP,STROBE_LAMP_4,STROBE_LAMP 4,STROBE_LAMP 4,INT,VALUE,1,1,0,1.000,0.000,0.000,1000.000,3,
OPTION,STROBE_LAMP,STROBE_LAMP_5,STROBE_LAMP 5,STROBE_LAMP 5,INT,VALUE,1,1,0,1.000,0.000,0.000,1000.000,3,
OPTION,STROBE_LAMP,STROBE_LAMP_6,STROBE_LAMP 6,STROBE_LAMP 6,INT,VALUE,1,1,0,1.000,0.000,0.000,1000.000,3,
OPTION,FLATNESS,USE_THICK_CHECK,USE_THICK_CHECK,USE_THICK_CHECK,BOOL,USE,1,1,0,1.000,0.000,0.000,1.000,3,
OPTION,FLATNESS,RANG_START_Y,RANG_START_Y,RANG_START_Y,DOUBLE,mm,1,1,0,1.000,0.000,0.000,2000.000,3,
OPTION,FLATNESS,RANG_END_Y,RANG_END_Y,RANG_END_Y,DOUBLE,mm,1,1,0,1.000,0.000,0.000,2000.000,3,
OPTION,FLATNESS,OFFSET_Z,OFFSET_Z,OFFSET_Z,DOUBLE,mm,1,1,0,1.000,0.000,0.000,10.000,3,
OPTION,FLATNESS,LIMIT_Z,LIMIT_Z,LIMIT_Z,DOUBLE,mm,1,1,0,1.000,0.000,0.000,10.000,3,
OPTION,MONITOR,LOG_DELECT_DAY,LOG_DELECT_DAY,LOG_DELECT_DAY,INT,DAY,1,1,0,1.000,0.000,1.000,100.000,3,
OPTION,MONITOR,BMP_DELECT_DAY,BMP_DELECT_DAY,BMP_DELECT_DAY,INT,DAY,1,1,0,1.000,0.000,1.000,100.000,3,
OPTION,COMMON,USE_AUTO_ALIGN,USE_AUTO_ALIGN,USE_AUTO_ALIGN,BOOL,USE,1,1,0,1.000,0.000,0.000,1.000,1,
